APTF,7
<<Description>>

<<Creator>>
Unknown
<<Category>>

<<Objects>>
49	C48	NGC2775	9.1716672	7.0333333	10.30	999.00	4.5	0.00	Galaxy	NGC	2774		155	0.0000000
50	C49	NGC2237	6.5050000	5.0500003	999.00	999.00		0.00	E Neb	NGC	2236		0	0.0000000
51	C50	NGC2244	6.5400000	4.8666667	4.80	999.00	24	0.00	Open	NGC	2243		0	0.0000000
52	C51	IC1613	1.0800000	2.1177778	9.90	999.00	16.2x14.5	0.00	IrrGal		-1		0	0.0000000
53	C52	NGC4697	12.8100006	-5.8000003	9.30	999.00	6	0.00	Galaxy	NGC	4696		70	0.0000000
54	C53	NGC3115	10.0866669	-7.7166667	9.20	999.00	8.3	0.00	Galaxy	NGC	3114		43	0.0000000
55	C54	NGC2506	8.0033331	-10.7833339	7.60	999.00	7	0.00	Open	NGC	2505		0	0.0000000
56	C55	NGC7009	21.0699997	-11.3666667	8.00	999.00	1.7	0.00	P Neb	NGC	7008		0	0.0000000
57	C56	NGC246	0.7833333	-11.8833333	8.00	999.00	3.8	0.00	P Neb	NGC	245		0	0.0000000
58	C57	NGC6822	19.7483331	-14.8000003	9.00	999.00	10.2	0.00	Galaxy	NGC	6821		49	0.0000000
59	C58	NGC2360	7.2966667	-15.6166667	7.20	999.00	13	0.00	Open	NGC	2359		0	0.0000000
60	C59	NGC3242	10.4133331	-18.6333333	9.00	999.00	20.8	0.00	P Neb	NGC	3241		0	0.0000000
61	C60	NGC4038	12.0316667	-18.8666667	10.70	999.00	2.6	0.00	Galaxy	NGC	4037		80	0.0000000
62	C61	NGC4039	12.0316667	-18.8833333	13.00	999.00	3.2	0.00	Galaxy	NGC	4038		130	0.0000000
63	C62	NGC247	0.7850000	-20.7666664	8.90	999.00	20	0.00	Galaxy	NGC	246		0	0.0000000
64	C63	NGC7293	22.4933339	-20.7999992	999.00	999.00	12.8	0.00	P Neb	NGC	7292		119	0.0000000
65	C64	NGC2362	7.3133336	-24.9500008	4.10	999.00	8	0.00	Open	NGC	2361		0	0.0000000
66	C65	NGC253	0.7933333	-25.2833328	7.10	999.00	25.1	0.00	Galaxy	NGC	252		0	0.0000000
67	C66	NGC5694	14.6599997	-26.5333328	10.20	999.00	3.6	0.00	Globular	NGC	5693		0	0.0000000
68	C67	NGC1097	2.7716667	-30.2833328	9.30	999.00	9.3	0.00	Galaxy	NGC	1096		130	0.0000000
69	C68	NGC6729	19.0316658	-36.9500008	999.00	999.00	1	0.00	E Neb	NGC	6728		0	0.0000000
70	C69	NGC6302	17.2283325	-37.0999986	13.00	999.00	0.8	0.00	P Neb	NGC	6301		108	0.0000000
71	C70	NGC300	0.9150000	-37.6833344	9.00	999.00	20	0.00	Galaxy	NGC	299		0	0.0000000
72	C71	NGC2477	7.8716669	-38.5499992	5.80	999.00	27	0.00	Open	NGC	2476		0	0.0000000
73	C72	NGC55	0.2483333	-39.1833344	8.00	999.00	32.4	0.00	Galaxy	NGC	54		0	0.0000000
