"NAME","R.A.","DEC.","MAG"
"ASASSN-15ea/ASASSN-15ea Lyr","18 50 50.57","+40 44 05.5","16.0"
"ASASSN-15hd/ASASSN-15hd Her","17 31 25.45","+27 54 28.5","14.0"
"ASASSN-13ak/ASASSN-13ak Dra","17 48 27.85","+50 50 40.3","15.0"
"KIC 2835289/KIC 2835289 Lyr","19 07 26.23","+38 01 38.9","13.0"
"SA92 409/Landolt 1992","00 55 14.00","+00 56 07.0","10.63"
"SA93 332/Landolt 1983","01 55 03.23","+00 40 11.8","9.79"
"SA93 424/Landolt 1983","01 55 26.00","+00 56 43.0","11.62"
"SA94 305/Landolt 1983","02 55 56.24","+00 30 56.7","8.89"
"SA95 96/Landolt 1992","03 52 54.00","+00 00 18.0","10.01"
"SA95 132/Landolt 1992","03 54 51.00","+00 05 21.0","12.06"
"SA96 180/Landolt 1983","04 51 41.09","-00 05 15.2","8.93"
"SA97 351/Landolt 1983","05 57 37.00","+00 13 42.0","9.78"
"SA99 438/Landolt 1983","07 55 54.00","-00 16 51.0","9.40"
"SA100 394/Landolt 1992","08 53 55.00","-00 32 21.0","11.38"
"SA101 282/Landolt 1983","09 57 05.04","-00 30 00.2","10.00"
"BO Gem/",  "6.4173055555556","17.971388888889" ,"11"  
"CC Her/",  "16.294135555556","8.9340694444444" ,"10"  
"RW Per/",  "4.3379888888889","42.314391667"    ,"9.8" 
"RW Cap/",  "20.298908333333","-17.673144444"   ,"10.3"
"RZ Aur/",  "5.82275","31.703055555556"         ,"12"  
"SW Oph/",  "16 16 27","-07 02 42" ,"10"  
"TT And/",  "23.222972222222","46.1475"         ,"11.5"
"TU Her/",  "17.226488888889","30.71"           ,"10.8"
"TW Lac/",  "22.507297222222","54.618472222222" ,"11.5"
"TX Ari/",  "3.0976944444444","28.567777777778" ,"11.0"
"TY Peg/",  "23.499175","13.542055555556"       ,"10"  
"V442 Cas/","23.670777777778","53.959444444444" ,"11"  
"V602 Aql/","19.850166666667","16.445527777778" ,"11"  
"YZ Aql/",  "19.279505555556","0.60475"         ,"10.5"
"AH Cep/",  "22.798027777778","65.062138888889" ,"6.9" 
"IV Cas/",  "23.825425","53.134638888889"       ,"11.2"
"RW Tau/",  "4.0650833333333","28.125944444444" ,"8"   
"RX Gem/",  "6.8365277777778","33.239083333333" ,"9.2" 
"SW Cyg/",  "20.116091666667","46.299472222222" ,"9.2" 
"SZ Cam/",  "4.1303333333333","62.332916666667" ,"6.9" 
"T LMi/",   "9.8078888888889","33.28875"        ,"10.9"
"TZ Eri/",  "4.3611944444444","-6.019444444"    ,"9.80"
"U Cep/",   "1.0384444444444","81.875555555556" ,"6.9" 
"V913 Oph/","17.917638888889","14.177527777778" ,"10"  
"XY Leo/",  "10.027888888889","17.409083333333" ,"9.5" 
"Y Cam/",   "7.6863888888889","76.073916666667" ,"10.5"
"Y Leo/",   "9.6143888888889","26.232666666667" ,"10.7"
"Y Psc/",   "23.573694444444","7.9245833333333" ,"9"   
"GK Per/","03 31 12.01","+43 54 15.4","13.0"
"V844 Her/","16 25 01.75","+39 09 26.7","13.0"
"V493 Ser/","15 56 44.23","-00 09 50.0","13.0"
"ASASSN-15jd/ASASSN-15jd Her","16 49 25.42","+14 02 43.7","14.0"
"V585 Lyr/","19 13 58.43","40 44 08.8","14.7"
"ASASSN-15km/ASASSN-15km Oph","17 22 18.03","+09 05 47.9","15.4"
"1502+09/SDSS J150441.76+084752.6","15 04 41.76","+08 47 52.7","13.7"
"CRTS J2158/CSS 100615:215815+094709","21 58 15.31","+09 47 09.6","12.6"
"KIC 11390659/KIC11390659 Dra","18 58 30.91","+49 14 32.7","13.4"
"IPHAS J2305/IPHAS_J230538.39+652158.7 Cep","23 05 38.36","+65 21 58.8","15.4"
"V404 Cyg/","20 24 03.83","+33 52 02.2","14.7"
"V1006 Cyg/","19 48 47.14","+57 09 21.8","14.1"
"HO Del/","20 36 55.52","+14 03 10.2","13.6"
"V1047 Aql/","19 51 12.31","+26 58 01.6","15.2"
"ASASSN-14fc/1RXS J201624.6+621732 Dra","20 16 23.52","+62 17 28.2","13.4"
"StHA 190/NSV25735 Aqr","21 41 44.88","+02 43 54.4","10.5"
"ASASSN-15mv/SDSSJ225112.31+265801.4 Peg","22 51 12.31","+26 58 01.6","15.4"
"ASASSN-15ni/ASASSN-15ni Her","18 39 58.06","+22 21 17.8","12.9"
"KV Dra/","14 50 38.31","+64 03 28.6","14.6"
"SDSS J1525/SDSS J152509.57+360054.5","15 25 09.57","+36 00 54.5","13.4"
"ASASSN-15oo/2RXP J180655.9+061015","18 06 56.17","+06 10 35.2","15.1"
"ASASSN-15po/SDSS J003635.82+215125.7","00 36 35.83","+21 51 25.8","15.1"
"HT Cas/","01 10 12.96","+60 04 36.3","12.6"
"V550 Cyg/","20 05 04.87","+32 21 23.8","15.0"
"ASASSN-15ry/TCP J05285567+3618388","05 28 55.66","+36 18 38.9","14.2"
"ASASSN-15se/SDSS J093309.37+102802.1","09 33 09.38","+10 28 02.2","13.0"
"ASASSN-15sc/ASASSN-15sc","02 21 11.94","+60 19 49.2","14.6"
"V1114 Cyg/","19 24 36.53","+28 26 10.6","15.4"
"0109+224/QSO B0109+224","01 12 05.82","+22 44 38.8","14.4"
"V501 Aur/","04 57 06.51","+31 42 50.4","10.6"
"ASASSN-15su/USNO-B1.0 1124-0080206","05 05 03.02","+22 25 30.8","15.0"
"ASASSN-15sv/SDSS J003900.53+271345.6","00 39 00.55","+27 13 45.7","15.7"
"ASASSN-15sw/SDSS J075526.98+110550.8","07 55 26.99","+11 05 50.8","15.2"
"ASASSN-15sl/USNO-B1.0 1408-0192895","07 23 12.73","+50 50 07.7","15.2"
"QY Per/","03 15 36.84","+42 28 14.3","15.4"
"3C 66A/3C66A And","02 22 39.61","+43 02 07.8","15.0"
"OJ 287/OJ287 Cnc","08 54 48.88","+20 06 30.6","12.1"
"ASASSN-15ux/ASASSN-15ux Aur","06 52 26.66","+47 10 56.5","14.4"
"ASASSN-16ag/ASASSN-16ag Per","01 34 38.25","+52 06 15.9","16.2"
"ASASSN-16aq/SDSS J165525.06+372136.8","16 55 25.07","+37 21 36.9","15.1"
"W50/V1329 Tau","04 41 55.15","+26 58 49.4","9.55"
"W54/V1334 Tau","04 44 54.45","+27 17 45.2","9.48"
"W66/V1349 Tau","04 55 09.62","+18 26 31.1","9.16"
"RZ Leo/","11 37 22.27","+01 48 58.5","11.5"
"OT J0733/MASTER OT_J073325.52+373744.9","07 33 25.48","+37 37 45.0","15.1"
"Alica1/HD283447 HD283572 HD283518","04 18 31","+28 27 16","10.0"
"Alica2/W1 W4 W5 W6","04 03 50","+21 15 39","10.0"
"Alica3/W18","04 13 47","+21 30 12","10.0"
"Alica4/W31 W32","04 30 18","+21 30 12","10.0"
"Alica5/W30 W36 GSC1269 HD28150","04 30 18","+18 09 52","10.0"
"Alica6/W55 W47","04 42 19","+15 50 00","10.0"
"Ziga4/W71 W73","04 56 58","+15 19 54","10.0"
"W10/V1197 Tau","04 09 09.74","+29 01 30.3","10.59"
"HV Vir/","13 21 03.13","+01 53 29.7","12.0"
"OT J1918/MASTER OT_J191841.98+444914.5","19 18 41.98","+44 49 14.5","15.2"
"PTF1 J0719/PTF1 J071912.13+485834.0","07 19 12.13","+48 58 34.0","15.1"
"V1028 Cyg/","20 00 56.49","+56 56 37.4","14.8"
"SBS1108+574/SBS1108+574 UMa","11 11 26.83","+57 12 38.6","15.5"
"3C 279/3C279 Vir","12 56 11.17","-05 47 21.5","15.0"
"ASASSN-16eg/CSS_J172610.3+422001 Her","17 26 10.34","+42 20 02.7","12.7"
"GP CVn/","12 27 40.83","+51 39 25.0","15.4"
"V1183Her/KR056","16 28 36.15","+47 17 58.1","11.3"
"BR CrB/KR063","15 53 04.27","+36 18 44.8","10.1"
"ASASSN-16ez/ASASSN-16ez Ser","15 31 29.86","+21 38 29.0","14.3"
"Abell 43/PN A66 43","17 53 32.27","+10 37 24.2","14.71"
"K 1-16/PN K 1-16","18 21 52.11","+64 21 53.2","14.96"
"ASASSN-16fy/ASASSN-16fy CVn","14 02 03.08","+46 13 33.7","13.1"
"AW Sge/","19 58 37.10","+16 41 28.4","14.6"
"NY Her/","17 52 52.60","+29 22 18.8","16.2"
"1SWASP J162117.36+441254.2/CSS_J162117.4+441254 Her","16 21 17.36","+44 12 54.1","15.6"
"KR116/","16 11 23.2","+44 06 20.9","10.0"
"05590/B1.0 1603-0070826","06 22 19.72","+70 22 55.8","12.0"
"03450/B1.0 1589-0089366","06 33 51.35","+68 55 35.0","12.0"
"HIP 20782/W30","04 27 25.00","+18 09 33.0","8.7"
"HD 31281/V1349 Tau","04 55 09.62","+18 26 31.1","9.2"
"HD 30171/V1206 Tau","04 45 51.30","+15 55 49.7","9.3"
"V1298 Tau/W4","04 05 19.61","+20 09 25.2","10.31"
"OV Boo/","15 07 22.35","+52 30 39.8","11.2"
"V2500 Oph/Barnard's star","17 57 48.49","+04 41 36.2","9.55"
"TW Cas/","02 45 54.82","+65 43 35.0","10.2"
"TCP J1815/TCP J18154219+3515598 Lyr","18 15 42.24","+35 15 59.8","13.2"
"KIC 4851217/HAT199-10019 Cyg","19 43 20.16","+39 57 08.1","10.6"
"UU And/","00 43 45.08","+30 56 19.6","11.2"
"AD And/","23 36 45.01","+48 40 15.6","11.2"
"TYC 2801-1379-1/M31-var","00 46 40.904","+40 43 04.94","10.82"
"TYC 5583-216-1/4U 398-59278","15 02 07.54","-10 38 07.40","10.37"
"TYC 634-468-1/46 Hestia","02 23 24.28","+11 47 17.90","10.22"
