"# Observations","Air Mass","Altitude","Annotations","Apparent Mag","Avg. Rating","Avg. Rating (Numeric)","Azimuth","Best Eyepiece","Best Magnification","Best Time","Catalogue","Catalogue Notes","Chart #","Components","Constellation","Dark Time Duration","Dark Time End","Dark Time Start","Date of Opposition","Dec","Difficulty Index","Ecliptic Latitude","Ecliptic Longitude","Extinction","Found","Galactic Latitude","Galactic Longitude","Heliocentric JDate","Hour Angle","ID","Log Object Contrast","Lord's Rating","Magnitude","Magnitude2","Moon Distance","Name","Observability","ODM","Parallactic Angle","PCW Level","Period","Plan Seq #","Pos.Angle","Probability","Probability 2","RA","Rise Time","Separation","Set Time","Size","Spectral","Splitability","Splittable Aperture","Sun Distance","Surface Brightness","Transit Altitude","Transit Date","Transit Time","Type","User Notes","Visible"
"0","1.0749449","68.46","","","","0","43.65","","0","19h 15m 00s","NGC","","2","","Cas","8.966632","05h 10m 47s","20h 12m 47s","2020-09-19","61.2","-999","56.79","29.91","0.2510843","No","0.23","112.22","0.0031313","-02h 06m 58s","C11","999","","","","62.91","NGC7635","47.6931396","n/a","-109.96","3","0","11","0","-1","0","23.344999","-01h 00m 00s","","-01h 00m 00s","15","","No","0","122.83","999","77.8","2020-09-20 13:59:32","22h 22m 44s","E Neb","vF, *8 inv l excentric","Limit"
"0","1.0241017","77.53","","9.14","","0","337.05","21mm (48X)","27.5","19h 15m 00s","NGC","","2","","Cep","8.966632","05h 10m 47s","20h 12m 47s","2020-08-08","60.15","-999","71.86","357.9","0.2404666","No","11.68","95.71","0.0016437","00h 38m 56s","C12","-1.8141112","","8.9","","82.41","NGC6946","47.8908325","27x","149.08","2","0","12","0","100","0","20.58","-01h 00m 00s","","-01h 00m 00s","11","","No","0","106.54","22.7352779","78.85","2020-08-09 09:20:19","19h 36m 50s","Galaxy","vF, vL, vg, vsbM, rr","Limit"
"0","1.2377335","53.86","","6.69","","0","51.35","21mm (48X)","27.5","19h 15m 00s","NGC","","1","","Cas","8.966632","05h 10m 47s","20h 12m 47s","2019-10-20","58.33333","-999","45.26","45.43","0.2901201","No","-4.34","126.57","0.0037254","-04h 05m 22s","C13","-0.9592125","","6.4","","50.42","NGC457","47.1447631","28x","-77.43","3","0","13","0","100","0","1.318333","-01h 00m 00s","","-01h 00m 00s","13","","No","0","130.17","20.5980313","80.67","2019-10-20 10:56:45","00h 21m 08s","Open","Cl, B, L, pRi, st 7, 8, 10","Limit"
"0","1.4014398","45.47","","4.328","","0","49.02","21mm (48X)","27.5","19h 15m 00s","NGC","","1","","Per","8.966632","05h 10m 47s","20h 12m 47s","2019-10-27","57.11666","-999","40.15","54.72","0.3275423","No","-3.6","135.07","0.0037067","-05h 08m 40s","C14","-0.7255683","","4","","46.45","NGC884","46.6277189","28x","-65.81","2","0","14","0","100","0","2.373333","-01h 00m 00s","","-01h 00m 00s","30","","No","0","129.93","20.0139208","81.88","2019-11-05 13:19:45","01h 24m 26s","Open","xh Per, ! Cl, vL, vRi, ruby * M","Limit"
"0","1.3911241","45.91","","4.325","","0","49.24","21mm (48X)","27.5","19h 15m 00s","NGC","","1","","Per","8.966632","05h 10m 47s","20h 12m 47s","2019-10-28","57.15","-999","40.38","54.19","0.3252792","No","-3.72","134.63","0.0037162","-05h 05m 16s","C14","-0.7255683","","4","","46.56","NGC869","46.6594263","28x","-66.36","2","0","15","0","100","0","2.316667","-01h 00m 00s","","-01h 00m 00s","30","","No","0","130.05","20.0139208","81.85","2019-11-04 16:34:32","01h 21m 02s","Open","xh Per, ! Cl, vvL, vRi, st 7...14","Limit"
"0","1.0323249","75.61","","10.242","","0","284.48","21mm (48X)","27.5","19h 15m 00s","NGC","","2","","Cyg","8.966632","05h 10m 47s","20h 12m 47s","2020-07-26","50.51667","-999","69.24","322.36","0.2423894","No","12.79","83.55","0.00104","01h 28m 56s","C15","-0.8947815","","10","","91.66","NGC6826","47.8717615","28x","87.42","2","0","16","0","100","0","19.746666","-01h 00m 00s","","-01h 00m 00s","2","","No","0","100.38","20.4369537","88.48","2020-07-27 16:08:18","18h 46m 50s","P Neb","PN , B, pL, R, *11 M","Limit"
"0","1.015485","79.97","","6.638","","0","79.12","21mm (48X)","27.5","19h 15m 00s","NGC","","8","","Lac","8.966632","05h 10m 47s","20h 12m 47s","2020-09-03","49.88334","-999","54.56","4.29","0.2380279","No","-5.55","98.87","0.0031933","-01h 01m 34s","C16","-1.3757644","","6.4","","67.98","NGC7243","47.890296","28x","-89.15","3","0","17","0","100","0","22.254999","-01h 00m 00s","","-01h 00m 00s","21","","No","0","123.57","21.639411","89.12","2020-09-03 22:47:26","21h 17m 20s","Open","Cl, L, P, lC, st vL","Limit"
"0","1.182355","57.72","","9.576","","0","71.55","21mm (48X)","27.5","19h 15m 00s","NGC","","3","","Cas","8.966632","05h 10m 47s","20h 12m 47s","2020-10-08","48.5","-999","40.48","30.46","0.2762035","No","-14.26","119.82","0.0043434","-03h 19m 28s","C17","-2.1125052","","9.3","","47.14","NGC147","47.2952881","27x","-69.92","2","0","18","0","100","0","0.553333","-01h 00m 00s","","-01h 00m 00s","12","","No","0","138.77","23.4812631","89.5","2020-10-08 00:31:56","23h 35m 14s","Galaxy","vF, vL, iR, gsmbM *11","Limit"
"0","1.1951354","56.76","","9.48","","0","71.22","21mm (48X)","27.5","19h 15m 00s","NGC","","3","","Cas","8.966632","05h 10m 47s","20h 12m 47s","2020-10-09","48.33333","-999","39.84","31.43","0.2796589","No","-14.49","120.8","0.0043726","-03h 25m 16s","C18","-1.9727215","","9.2","","46.32","NGC185","47.2514172","27x","-69.12","2","0","19","0","100","0","0.65","-01h 00m 00s","","-01h 00m 00s","11","","No","0","139.21","23.1318037","89.33","2020-10-09 11:56:08","23h 41m 02s","Galaxy","pB, vL, iR, vgmbM, r","Limit"
"0","1.0071668","83.15","","7.437","","0","100.91","21mm (48X)","27.5","19h 15m 00s","","","8","","Cyg","8.966632","05h 10m 47s","20h 12m 47s","2020-08-28","47.26694","-999","54.63","356.59","0.236598","No","-5.5","94.39","0.0030236","-00h 39m 44s","C19","-1.2096883","","7.2","","71.27","IC5146","47.9238702","28x","-71.68","3","0","20","0","100","0","21.891111","-01h 00m 00s","","-01h 00m 00s","12","","No","0","121.57","21.2242208","88.27","2020-08-29 09:31:12","20h 55m 30s","E Neb","","Limit"
